country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10016,10016020,隘門村,X020000083,澎湖機場二樓內候機室北側無障礙廁,湖西鄉隘門村126-5號,交通部,23.55999438,119.6303415,特優級,,無障礙廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000082,澎湖機場二樓內候機室北側女廁,湖西鄉隘門村126-5號,交通部,23.56013206,119.6302128,特優級,,女廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000081,澎湖機場二樓內候機室北側男廁,湖西鄉隘門村126-5號,交通部,23.5601714,119.6302557,特優級,,男廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000078,澎湖機場二樓內候機室南側女廁,湖西鄉隘門村126-5號,交通部,23.56013698,119.6302342,特優級,,女廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000077,澎湖機場二樓內候機室南側男廁,湖西鄉隘門村126-5號,交通部,23.56034842,119.6304703,特優級,,男廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000076,澎湖機場二樓外候機室北側無障礙廁,湖西鄉隘門村126-5號,交通部,23.56032875,119.6304488,特優級,,無障礙廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000072,澎湖機場二樓外候機室南側女廁,湖西鄉隘門村126-5號,交通部,23.56046644,119.6294564,特優級,,女廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000071,澎湖機場二樓外候機室南側男廁,湖西鄉隘門村126-5號,交通部,23.56049594,119.6294081,特優級,,男廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000070,澎湖機場一樓國際線候機室無障礙廁,湖西鄉隘門村126-5號,交通部,23.56049102,119.6293867,特優級,,無障礙廁所,交通部民用航空局馬公航空站,0
10016,10016020,隘門村,X020000069,澎湖機場一樓國際線候機室女廁,湖西鄉隘門村126-5號,交通部,23.56055003,119.6294028,特優級,,女廁所,交通部民用航空局馬公航空站,0
10016,10016010,陽明里,X010000361,澎湖縣立文化中心男廁,馬公市中華路230號,縣市政府,23.57132324,119.5775664,特優級,文化育樂活動場所,男廁所,澎湖縣政府文化局,0
10016,10016010,光復里,X010000106,南海遊客服務中心男廁3,馬公市新營路25號,交通部,23.56613097,119.5718265,特優級,,男廁所,交通部觀光局澎湖國家風景區管理處,0
10016,10016010,光復里,X010000105,南海遊客服務中心男廁2,馬公市新營路25號,交通部,23.56635715,119.5721161,特優級,,男廁所,交通部觀光局澎湖國家風景區管理處,0
10016,10016010,光復里,X010000104,南海遊客服務中心男廁1,馬公市新營路25號,交通部,23.5668046,119.5725399,特優級,,男廁所,交通部觀光局澎湖國家風景區管理處,0
10016,10016010,中興里,X010000095,澎湖縣長青活動中心男廁,澎湖縣馬公市介壽路7-1號,縣市政府,23.567373,119.561568,特優級,社福機構、集會場所,男廁所,澎湖縣政府社會處,0
10016,10016010,中興里,X010000029,觀音亭運動公園南女廁,馬公市介壽路,縣市政府,23.56898281,119.5627928,特優級,公園,女廁所,林務公園管理所,0
10016,10016010,中興里,X010000092,救國團青年活動中心男廁,馬公市介壽路11號,其他,23.56855012,119.5637155,特優級,社福機構、集會場所,男廁所,救國團總部,0
10016,10016060,南港村,X060000012,七美旅客服務中心無障礙廁,澎湖縣七美鄉南港村南滬59號,交通部,23.195778,119.419248,特優級,觀光地區及風景區,無障礙廁所,交通部觀光局澎湖國家風景區管理處,0
10016,10016010,五德里,X010000564,五德自行園區無障礙廁,澎湖縣馬公市五德里四一號之一一,交通部,23.52674,119.59178,特優級,觀光地區及風景區,無障礙廁所,澎湖國家風景區管理處,0
10016,10016010,五德里,X010000563,五德自行園區女廁,澎湖縣馬公市五德里四一號之一一,交通部,23.52672,119.59171,特優級,觀光地區及風景區,女廁所,澎湖國家風景區管理處,0
10016,10016010,五德里,X010000562,五德自行園區男廁,澎湖縣馬公市五德里四一號之一一,交通部,23.526728,119.591718,特優級,觀光地區及風景區,男廁所,澎湖國家風景區管理處,0
10016,10016010,山水里,X010000486,山水30高地公廁無障礙廁,澎湖縣馬公市山水里(30公園停車場),縣市政府,23.5125819,119.5877069,特優級,觀光地區及風景區,無障礙廁所,澎湖縣政府旅遊處,0
10016,10016010,山水里,X010000485,山水30高地公廁女廁,澎湖縣馬公市山水里(30公園停車場),縣市政府,23.513653,119.595918,優等級,觀光地區及風景區,女廁所,澎湖縣政府旅遊處,0
10016,10016010,山水里,X010000484,山水30高地公廁男廁,澎湖縣馬公市山水里(30公園停車場),縣市政府,23.513653,119.595918,優等級,觀光地區及風景區,男廁所,澎湖縣政府旅遊處,0
10016,10016020,龍門村,X020000128,龍門閉鎖陣地無障礙廁,澎湖縣湖西鄉龍門村漁港旁,縣市政府,23.56539,119.675994,特優級,觀光地區及風景區,無障礙廁所,澎湖縣政府旅遊處,0
10016,10016020,龍門村,X020000127,龍門閉鎖陣地女廁,澎湖縣湖西鄉龍門村漁港旁,縣市政府,23.56539,119.675994,特優級,觀光地區及風景區,女廁所,澎湖縣政府旅遊處,0
10016,10016020,龍門村,X020000126,龍門閉鎖陣地男廁,澎湖縣湖西鄉龍門漁港旁,縣市政府,23.55574581,119.6756709,特優級,觀光地區及風景區,男廁所,澎湖縣政府旅遊處,0
10016,10016010,中興里,X010000091,澎湖縣政府第3棟辦公大樓5樓女廁,澎湖縣馬公市中興里治平路32號,縣市政府,23.57040871,119.5664728,特優級,,女廁所,澎湖縣政府,0
10016,10016010,中興里,X010000090,澎湖縣政府第3棟辦公大樓5樓男廁,澎湖縣馬公市中興里治平路32號,縣市政府,23.57088072,119.5664835,特優級,,男廁所,澎湖縣政府,0
10016,10016010,中興里,X010000089,澎湖縣政府第3棟辦公大樓4樓女廁,澎湖縣馬公市中興里治平路32號,縣市政府,23.57040871,119.5665264,特優級,,女廁所,澎湖縣政府,0
10016,10016030,通梁村,X030000083,通樑汽車加油站無障礙廁所,澎湖縣白沙鄉通梁村25-1號,其他,23.65954569,119.5627713,特優級,,無障礙廁所,通樑加油站,0
10016,10016030,吉貝村,X030000095,吉貝海上樂園女廁,澎湖縣白沙鄉吉貝村,交通部,23.73346093,119.6033156,優等級,觀光地區及風景區,女廁所,澎湖國家風景區管理處北海管理站,0
10016,10016030,吉貝村,X030000094,吉貝社區女廁,澎湖縣白沙鄉吉貝村,交通部,23.74145659,119.6127945,優等級,觀光地區及風景區,女廁所,澎湖國家風景區管理處北海管理站,0
10016,10016030,吉貝村,X030000093,吉貝社區男廁,澎湖縣白沙鄉吉貝村,交通部,23.74144432,119.6127972,優等級,觀光地區及風景區,男廁所,澎湖國家風景區管理處北海管理站,0
