country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
68000,68000040,楊江里,H040000360,楊梅區公所3F男廁,桃園市楊梅區楊江里大成路2號,桃園市楊梅區公所,24.907479,121.1459707,特優級,民眾洽公場所,男廁所,桃園市楊梅區公所,0
68000,68000040,楊江里,H040000359,楊梅區公所2F無障礙廁所,桃園市楊梅區楊江里大成路2號,桃園市楊梅區公所,24.90747779,121.1459814,特優級,民眾洽公場所,無障礙廁所,桃園市楊梅區公所,0
68000,68000040,楊江里,H040000358,楊梅區公所2F女廁,桃園市楊梅區楊江里大成路2號,桃園市楊梅區公所,24.90748387,121.1459747,特優級,民眾洽公場所,女廁所,桃園市楊梅區公所,0
68000,68000010,光興里,H010000726,桃園市政府16樓男廁,桃園市桃園區縣府路1號,縣市政府,24.993058,121.300985,特優級,民眾洽公場所,男廁所,桃園市政府行政園區管理科,0
68000,68000050,中興里,H050000298,桃園市立圖書館大竹分館3F男廁,桃園市蘆竹區興仁路330號,縣市政府,25.014284,121.262019,特優級,文化育樂活動場所,男廁所,桃園市立圖書館大竹分館,0
68000,68000050,中興里,H050000297,桃園市立圖書館大竹分館2F無障礙廁所,桃園市蘆竹區興仁路330號,縣市政府,25.014284,121.262019,特優級,文化育樂活動場所,無障礙廁所,桃園市立圖書館大竹分館,0
68000,68000050,中興里,H050000296,桃園市立圖書館大竹分館2F女廁,桃園市蘆竹區興仁路330號,縣市政府,25.014284,121.262019,特優級,文化育樂活動場所,女廁所,桃園市立圖書館大竹分館,0
68000,68000050,中興里,H050000295,桃園市立圖書館大竹分館2F男廁,桃園市蘆竹區興仁路330號,縣市政府,25.014284,121.262019,特優級,文化育樂活動場所,男廁所,桃園市立圖書館大竹分館,0
68000,68000020,興南里,H020000615,中壢銀河廣場地下停車場B1女廁,桃園市中壢區九和一街35號,縣市政府,24.961845,121.224254,特優級,民眾洽公場所,女廁所,桃園市政府交通局,0
68000,68000020,興南里,H020000614,中壢銀河廣場地下停車場B1男廁,桃園市中壢區九和一街35號,縣市政府,24.961845,121.224254,特優級,民眾洽公場所,男廁所,桃園市政府交通局,0
